3,Struktura,Nazwa dekoru,"Płyta laminowana
- 2800 x 2070 mm",,Laminat,,Blaty i Panele (dł. 4100 mm),,,,,
,,,,,,,Blaty Kompaktowe,,Blaty Posformingowe,,Panele wnękowe,
,,,"E1 P2 -
Standard",trudnopalna – Flammex MINIMUM 24SZT,2800 x 1310,2790 x 2060,szer. 650,szer. 920,szer.  600 postforming. 650* Feelwood- prosta krawędź,szer. 920 postforming,"Panel:  szer.
640",Druga strona panelu
,,,,,,,szt,,,,,
Program magazynowy,,,18 mm,,"0,8 mm",,12 mm,,38 mm,,8 mm,
W960,SM,Biały klasyczny,280 zł,597 zł,307 zł,XXX,XXX,XXX,XXX,XXX,XXX,
W960,ST7,Biały klasyczny,280 zł,597 zł,307 zł,XXX,XXX,XXX,XXX,XXX,XXX,
W908,ST37,Biała bazowa,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,623 zł,H1180 ST37
W908,ST37,Biała bazowa,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,623 zł,H1181 ST37
W908,ST32,Biała bazowa,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,1 144 zł,H1344 ST32
W1200,ST9,Biały porcelanowy,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
W1101,ST76,Biały alpejski solid,XXX,XXX,XXX,XXX,2 573 zł,4 076 zł,XXX,XXX,822 zł,U7081 ST76
W1100,ST9,Biały alpejski,297 zł,XXX,267 zł,XXX,XXX,XXX,XXX,XXX,XXX,
W1100,PM,Biały alpejski,1 252 zł,XXX,XXX,XXX,XXX,XXX,1 002 zł,1 715 zł,1 051 zł,GZW
W1100,PG,Biały alpejski,1 083 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
W1001,ST9,Biały premium solid,XXX,XXX,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,
W1000,ST9,Biały premium,368 zł,707 zł,328 zł,XXX,XXX,XXX,XXX,XXX,XXX,
W1000,ST19,Biały premium,461 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
W1000,ST38,Biały premium,542 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
W1000,TM9,Biały premium – TM9/TM9 – DWUSTR,899 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
W1000,ST76,Biały premium,XXX,XXX,349 zł,XXX,XXX,XXX,466 zł,798 zł,623 zł,F486 ST76
U999,ST7,Czarny,315 zł,661 zł,328 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U999,ST19,Czarny,452 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U999,PM,Czarny,1 252 zł,XXX,847 zł,XXX,XXX,XXX,1 002 zł,1 715 zł,1 051 zł,GZW
U999,TM9,Czarny - TM9/TM9 – DWUSTR,899 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U999,PG,Czarny,1 083 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U999,TM28,Czarny,952 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U999,ST78,Czarny,XXX,XXX,349 zł,XXX,XXX,XXX,465 zł,798 zł,623 zł,U702 ST78
U999,ST76,Czarny,XXX,XXX,349 zł,XXX,1 776 zł,2 816 zł,XXX,XXX,623 zł,U763 ST76
U998,ST38,Czarny Shadow,541 zł,XXX,XXX,1 387 zł,XXX,XXX,XXX,XXX,XXX,
U989,ST9,Czerń brązowa,XXX,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U968,ST9,Szary Karbon,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U963,ST9,Szary diamentowy,345 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U961,ST7,Szary grafitowy,311 zł,660 zł,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U961,PM,Szary grafitowy,1 252 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U960,ST9,Onyx szary,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U960,TM9,Onyx szary - TM9/TM9 – DWUSTR,899 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U899,ST9,Czerń aksamitna,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U830,ST9,Karmel,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U818,ST9,Ciemnobrązowy,452 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U788,ST9,Szary arktyczny,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U780,ST9,Szary Monument,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U775,ST9,Szary biały,358 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U767,ST9,Szary kubanit,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U767,PM,Szary kubanit,1 252 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U763,ST9,Szary perłowy,345 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U763,ST76,Szary perłowy,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,U999 ST76
U750,ST9,Szary Taupe,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U748,ST9,Brąz Trufla,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U741,ST9,Szary lawa,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U740,ST9,Taupe ciemny,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U740,TM9,Taupe ciemny – TM9/TM9 – DWUSTR,899 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U732,ST9,Szary przykurzony,345 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U727,ST9,Szary kamienny,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U7081,ST76,Szary jasny solid,XXX,XXX,XXX,XXX,2 571 zł,4 076 zł,XXX,XXX,821 zł,W1101 ST76
U708,ST9,Szary jasny,302 zł,660 zł,327 zł,XXX,XXX,XXX,454 zł,779 zł,XXX,
U707,ST9,Szary jedwabisty,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U705,ST9,Szary angora,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U702,ST9,Kaszmir,323 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U702,PM,Kaszmir,1 252 zł,XXX,873 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U702,ST78,Kaszmir,XXX,XXX,349 zł,XXX,XXX,XXX,465 zł,798 zł,623 zł,U999 ST78
U699,ST9,Jodła zielona,452 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U665,ST9,Zielony kamienny,452 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U665,PM,Zielony kamienny,1 252 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U638,ST9,Zielony szałowiowy,452 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U636,ST9,Zieleń Fjord,452 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U630,ST9,Zieleń limetki,418 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U606,ST9,Zieleń leśna,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U604,ST9,Zieleń eukaliptusowa,452 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U599,ST9,Niebieski indigo,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U599,PM,Niebieski indigo,1 252 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U540,ST9,Niebieski denim,418 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U525,ST9,Niebieski fajansowy,418 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U504,ST9,Niebieski tyrolski,418 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U502,ST9,Niebieski mglisty,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U399,PM,Czerwień granatu,1 252 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U350,ST9,Pomarańczowy siena,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U335,ST9,Czerwony rdzawy,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U325,ST9,Antyczna róża,418 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U323,ST9,Czerwień chili,XXX,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U321,ST9,Czerwień chińska,422 zł,XXX,339 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U311,ST9,Burgund,418 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U222,ST9,Beż kremowy,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U216,ST9,Beż Came,345 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U211,ST9,Beż migdałowy,418 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U201,ST9,Szary krzemowy,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U163,ST9,Żółty curry,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
U156,ST9,Beż piaskowy,350 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U125,ST9,Żółty piaskowy,452 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U115,ST9,Carat beżowy,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U113,ST9,Bawełna,345 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
U104,ST9,Alabaster,300 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3860,ST9,Klon Hard szampański,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H3840,ST9,Klon Mandal naturalny,345 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3734,ST9,Orzech Dijon naturalny,339 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3730,ST10,Hikora naturalna,385 zł,782 zł,327 zł,XXX,1 776 zł,2 816 zł,460 zł,789 zł,623 zł,H3331 ST10
H3710,ST12,Orzech Carini naturalny,418 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3702,ST10,Orzech Pacific tabak,377 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3700,ST10,Orzech Pacific naturalny,382 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3450,ST22,Fleetwood biały,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H3433,ST22,Sosna Aland polarna,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3430,ST22,Sosna Aland biała,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3398,ST12,Dąb Kendal koniakowy,326 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3395,ST12,Dąb Corbridge naturalny,327 zł,707 zł,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3359,ST32,Dąb Davenport naturalny jasny,589 zł,XXX,XXX,1 387 zł,XXX,XXX,1 049 zł,1 796 zł,1 144 zł,W908 ST32
H3332,ST10,Dąb Nebraska szary,XXX,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3331,ST10,Dąb Nebraska naturalny,379 zł,XXX,327 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,H3730 ST10
H3325,ST28,Dąb Gladstone tabak,589 zł,XXX,XXX,1 387 zł,XXX,XXX,XXX,XXX,XXX,
H3317,ST28,Dąb Cuneo brązowy,589 zł,XXX,XXX,1 387 zł,XXX,XXX,XXX,XXX,XXX,
H3311,TM28,Dąb Cuneo bielony,952 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H3309,ST28,Dąb Gladstone piaskowy,589 zł,XXX,XXX,1 387 zł,XXX,XXX,XXX,XXX,XXX,
H3303 ,ST10,Dąb Hamilton naturalny,381 zł,782 zł,327 zł,XXX,XXX,XXX,454 zł,779 zł,623 zł,F620 ST87
H3198,ST19,Fineline ciemnoszary,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H3197,ST19,Fineline średnioszary,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H3195,ST19,Fineline biały,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H3180,TM37,Dąb Halifax brązowy,952 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H3176,ST37,Dąb Halifax cynowany,589 zł,XXX,XXX,XXX,XXX,XXX,1 049 zł,1 796 zł,1 144 zł,W908 ST32
H3170,ST12,Dąb Kendal naturalny,347 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3171,ST12,Dąb Kendal olejowany,XXX,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3157,ST12,Dąb Vicenza,343 zł,XXX,327 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,H2033 ST10
H3156,ST12,Dąb Corbridge szary,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H3154,ST36,Dąb Charleston ciemnobrązowy,541 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3152,ST19,Dąb Vicenza bielony,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H3146,ST19,Dąb Lorenzo szarobeżowy,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H3133,ST12,Dąb Davos truflowy,343 zł,XXX,327 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,H2032 ST10
H3131,ST12,Dąb Davos naturalny,343 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H309,ST12,Dąb Tonsberg brązowy,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H305,ST12,Dąb Tonsberg naturalny,452 zł,XXX,349 zł,XXX,XXX,XXX,465 zł,798 zł,623 zł,H2409 G8
H3043,ST12,Eukaliptus ciemnobrązowy,300 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H3041,TM12,Eukaliptus naturalny,870 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H3012,ST22,Coco Bolo,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H3003,ST19,Dąb Norwich,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H2409,G8,Dąb Cardiff brązowy,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,H305 ST12
H2033,ST10,Dąb Hunton ciemny,452 zł,XXX,XXX,XXX,1 776 zł,2 816 zł,465 zł,798 zł,623 zł,H3157 ST12
H2032,ST10,Dąb Hunton jasny,XXX,XXX,349 zł,XXX,XXX,XXX,465 zł,798 zł,623 zł,H3133 ST12
H197,ST10,Drewno Vintage naturalne,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,H1357 ST10
H193,ST12,Dąb Butcherblock,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,H1401 ST22
H1910,ST9,Buk Willow,300 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1732,ST9,Brzoza piaskowa,300 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1715,ST12,Orzech Parona,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1714,ST19,Orzech Lincoln,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1710,ST10,Kasztan Kentucky piaskowy,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1636,ST12,Wiśnia Locarno,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1487,ST22,Sosna Bramberg,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1401,ST22,Sosna Cascina,374 zł,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,H193 ST12
H1399,ST10,Dąb Denver truflowy,452 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1386,ST40,Dąb Casella brązowy,589 zł,XXX,XXX,XXX,XXX,XXX,1 049 zł,1 796 zł,1 144 zł,
H1385,ST40,Dąb Casella naturalny,589 zł,XXX,1 387 zł,XXX,XXX,XXX,1 049 zł,1 796 zł,1 144 zł,W908 ST40
H1384,ST40,Dąb Casella biały,ilości paletowe,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1367,ST40,Dąb Casella naturalny jasny,589 zł,XXX,1 387 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1362,ST12,Dąb baronia jasny,418 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1357,ST10,Dąb Spree szarobeżowy,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,H197 ST10
H1344,ST32,Dąb Sherman koniakowy brązowy,589 zł,XXX,XXX,1 387 zł,XXX,XXX,1 049 zł,1 796 zł,1 144 zł,W908 ST32
H1330,ST10,Dąb Santa Fe Vintage,452 zł,XXX,XXX,XXX,1 776 zł,2 816 zł,XXX,XXX,XXX,
H1318,ST10,Dąb dziki naturalny,334 zł,XXX,327 zł,XXX,1 776 zł,2 816 zł,460 zł,789 zł,623 zł,H1330 ST10
H1312,ST10,Dąb Whiteriver Beżowopiaskowy,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1307,ST19,Orzech Warmia brązowy,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1303,ST12,Dąb Belmont brązowy,418 zł,XXX,605 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,H1145 ST10
H1277,ST9,Akacja Lakeland jasna,345 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1250,ST36,Jesion Navarra,541 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1242,ST10,Akacja Sheffield naturalna,452 zł,XXX,349 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1227,TM12,Jesion Abano brązowy,870 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1225,ST12,Jesion Trondheim,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1223,ST19,Jesion Sevilla,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1204,TM22,Jesion Lugano naturalny,870 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1199,ST12,Dąb Thermo czarnobrązowy,374 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H1181,ST37,Dąb Halifax tabak,589 zł,XXX,XXX,1 387 zł,XXX,XXX,1 049 zł,1 796 zł,1 144 zł,W908 ST37
H1180,ST37,Dąb Halifax naturalny,589 zł,XXX,XXX,1 387 zł,XXX,XXX,1 049 zł,1 796 zł,1 144 zł,W908 ST37
H1176,ST37,Dąb Halifax biały,589 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1145,ST10,Dąb Bardolino naturalny,292 zł,XXX,327 zł,XXX,XXX,XXX,454 zł,779 zł,623 zł,H1303 ST12
H1142,ST36,Dąb Sacramento brązowy,541 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
H1113,ST10,Dąb Kansas brązowy,343 zł,XXX,327 zł,XXX,XXX,XXX,XXX,XXX,XXX,
H011,G8,Świerk Nebrodi rustykalny,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F675
F800,ST9,Marmur Crystal,452 zł,XXX,349 zł,XXX,XXX,XXX,465 zł,798 zł,623 zł,H1313
F765,ST20,Metal srebrnoszary szczotkowany,374 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
F685,ST10,Acapulco,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
F676,ST75,Kamień Calvia piaskowoszary,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,F638
F675,ST75,Kamień Calvia jasnoszary,XXX,XXX,349 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,H011
F638,ST10,Chromix srebrny,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,F676
F620,ST87,Stal szara antracytowa,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,H3303 ST10
F528,ST20,Metal szczotkowany brązowy,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
F502,ST7,Szczotkowane aluminium premium,XXX,XXX,XXX,XXX,XXX,XXX,454 zł,779 zł,623 zł,F484 ST87
F486,ST76,Granit lśniący biały,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,W1000 ST76
F484,ST87,Granit lśniący rdzawy,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,623 zł,F502 ST7
F433,ST10,Len antracytowy,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
F416,ST10,Płótno beżowe,452 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
F352,ST76,Basaltino Terra,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F502 ST7
F323,ST20,Kobra brązowa,492 zł,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,
F311,ST87,Granit lśniący rdzawy,XXX,XXX,XXX,XXX,1 776 zł,2 816 zł,XXX,XXX,623 zł,F302 ST87
F302,ST87,Ferro brązowy,XXX,XXX,349 zł,XXX,XXX,XXX,465 zł,798 zł,623 zł,F311 ST87
F251,ST9,Kamień Gavi taupe,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,F234 ST76
F244,ST76,Marmur Candela antracytowy,XXX,XXX,XXX,XXX,1 776 zł,2 816 zł,XXX,XXX,624 zł,F243 ST76
F243,ST76,Marmur Candela jasnoszary,492 zł,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F244 ST76
F237,ST76,Łupek Cupria,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F235 ST76
F235,ST76,Łupek Scivaro,492 zł,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F237 ST76
F234,ST76,Łupek Scivaro jasnoszary,XXX,XXX,349 zł,XXX,XXX,XXX,465 zł,798 zł,623 zł,F251 ST76
F230,ST75,Pietra Fanano jasnoszara,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F228 ST76
F229,ST75,Marmur Cremona,XXX,XXX,349 zł,XXX,XXX,XXX,465 zł,798 zł,623 zł,F226 ST76
F228,ST78,Tytanit antracytowy,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F230 ST76
F227,ST78,Tytanit szary,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F221 ST76
F226,ST78,Tytanit beżowo piaskowy,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F221 ST76
F221,ST87,Tessina Ceramic kremowa,XXX,XXX,349 zł,XXX,1 776 zł,2 816 zł,XXX,XXX,624 zł,F227 ST78
F208,ST75,Pietra Fanano szara,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F108 ST9
F206,ST9,Grigia Pietra czarna,452 zł,XXX,349 zł,XXX,1 776 zł,2 816 zł,460 zł,789 zł,623 zł,F205 ST9
F206,PM,Grigia Pietra czarna,XXX,XXX,XXX,XXX,XXX,XXX,1 002 zł,XXX,1 051 zł,GZW
F205,ST9,Grigia Pietra antracytowa,XXX,XXX,349 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,F206 ST9
F187,ST9,Beton Chicago ciemnoszary,452 zł,XXX,349 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,F031 ST78
F186,ST9,Beton Chicago jasnoszary,452 zł,XXX,349 zł,XXX,XXX,XXX,460 zł,789 zł,623 zł,F032 ST78
F1861,ST9,Beton Chicago jasnoszary solid,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,821 zł,GZW
F121,ST87,Metal Rock antracytowy,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F052 ST75
F108,ST9,Marmur San Luca,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,F208 ST75
F095,ST87,Marmur Siena szary,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,F093 ST7
F093,ST7,Marmur Cipollino szary,XXX,XXX,XXX,XXX,XXX,XXX,454 zł,779 zł,623 zł,F095 ST87
F052,ST75,Trawertyn Calais,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F121 ST87
F032,ST78,Granit Cascia szary,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F186 ST9
F031,ST78,Granit Cascia jasnoszary,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F189 ST9
F030,ST75,Trawertyn Margalida,XXX,XXX,XXX,XXX,XXX,XXX,465 zł,798 zł,623 zł,F021 ST75
F021,ST75,Terrazzo Triestino szary,XXX,XXX,XXX,XXX,XXX,XXX,460 zł,789 zł,623 zł,F030 ST75
u250,PM,karmelowy beż,1252,,,,,,,,,