element,typ_rysunku,lokalizacja_na_rysunku,jak_odczytac,format_danych,przykład,dodatkowe_informacje
"Wymiar pomieszczenia","Rzut poziomy","Linie wymiarowe na zewnątrz obrysu pomieszczenia","Szukaj linii z grotami strzałek i wartościami liczbowymi w cm lub m","Liczba x Liczba (szerokość x długość)","450 x 380 (cm) lub 4.5 x 3.8 (m)","Jeśli jednostka nie jest podana, domyślnie cm. Suma wymiarów częściowych musi równać się wymiarowi ogólnemu"
"Grubość ściany","Rzut poziomy","Odległość między równoległymi liniami oznaczającymi ścianę","Zmierz lub odczytaj wymiar między liniami obrysu ściany","Liczba w cm","12, 20, 25","Ściana działowa: 10-12 cm, konstrukcyjna: 20-25 cm, pustak: 24-25 cm"
"Drzwi - wymiar","Rzut poziomy","Otwór w ścianie z łukiem pokazującym otwarcie","Odczytaj wymiar szerokości otworu, wysokość zazwyczaj w rozwinięciu lub w legendzie","Szerokość x Wysokość","80 x 200, 90 x 200","Standard: 70, 80, 90 cm szerokości, 200 cm wysokości"
"Drzwi - kierunek otwierania","Rzut poziomy","Łuk (ćwiartka okręgu) przy drzwiach","Łuk pokazuje zakres ruchu skrzydła, linia prosta to położenie otwartych drzwi","Lewe/Prawe, Do wewnątrz/Na zewnątrz","Lewe do wewnątrz","Stojąc od strony zawiasów: jeśli zawiasy po lewej - drzwi lewe"
"Okno - wymiar","Rzut poziomy i Rozwinięcie ściany","Otwór w ścianie zewnętrznej z podziałami","Odczytaj szerokość z rzutu, wysokość z rozwinięcia","Szerokość x Wysokość","120 x 140, 150 x 140","Standardy: 90x120, 120x140, 150x140 cm"
"Okno - typ","Rzut poziomy","Symbole strzałek w obrębie okna","Strzałki wskazują kierunek otwierania skrzydeł","Uchylne/Rozwierane/Stałe","Rozwierane jednoskrzydłowe","Brak strzałek = okno stałe (nieotwierane)"
"Wysokość pomieszczenia","Przekrój","Wymiar pionowy od podłogi do sufitu","Szukaj linii wymiarowej pionowej z wartością","Liczba w cm lub m","270, 2.70","Standardowa wysokość: 260-280 cm"
"Poziom podłogi","Rzut poziomy lub Przekrój","Oznaczenie przy poziomie odniesienia","Szukaj symbolu ±0.00 lub wartości z + lub -","±X.XX m","+0.00, -0.15, +2.50","±0.00 to poziom odniesienia (zazwyczaj parter), + wyżej, - niżej"
"Punkt świetlny sufitowy","Rzut sufitu","Symbol kółka z krzyżykiem lub kropką w środku","Zlokalizuj symbol ⊕ lub ⊙","Współrzędne X,Y od ściany","150 cm od ściany północnej, 200 cm od ściany zachodniej","⊕ = zwykła lampa, ⊙ = lampa wpuszczana, liczba obok = ilość punktów"
"Punkt świetlny ścienny","Rzut sufitu lub Rozwinięcie","Symbol kółka z krzyżykiem przy ścianie","Zlokalizuj symbol ⊗ na ścianie","Współrzędne + wysokość montażu","180 cm od narożnika, wysokość 200 cm","⊗ = kinkiet lub lampa ścienna"
"Włącznik światła","Rzut poziomy","Symbol S, W lub podobny przy ścianie","Szukaj oznaczenia S, S2 (podwójny), Sn (schodowy)","Typ + lokalizacja","S - włącznik pojedynczy przy drzwiach","Wysokość montażu standardowo 110 cm od podłogi"
"Kontakt wtykowy","Rzut poziomy","Symbol kwadraciku lub prostokąta przy ścianie","Szukaj □ (pojedynczy) lub □□ (podwójny)","Typ + ilość + lokalizacja","Podwójny kontakt przy biurku","Wysokość montażu standardowo 30 cm od podłogi"
"Gniazdo RJ45 (internet)","Rzut poziomy","Symbol lub oznaczenie RJ45, LAN","Szukaj tekstu RJ45 lub symbolu sieci","Lokalizacja","RJ45 przy biurku","Często grupowane z kontaktami elektrycznymi"
"Gniazdo TV/SAT","Rzut poziomy","Symbol lub oznaczenie TV, SAT","Szukaj tekstu TV lub symbolu anteny","Lokalizacja","TV przy ścianie za telewizorem","Wysokość ~100-120 cm lub za szafką RTV"
"Obwód elektryczny","Rzut sufitu","Linie łączące włączniki z lampami","Śledź linię od włącznika do punktów świetlnych","Połączenia między elementami","Włącznik S1 steruje lampami L1, L2, L3","Linia ciągła = przewód w podłodze, przerywana = w suficie"
"Umywalka","Rzut poziomy","Symbol U lub zarys umywalki","Szukaj owalnego/prostokątnego symbolu z oznaczeniem U","Typ + wymiary","Umywalka wpuszczana 60x45 cm","Zwróć uwagę na lokalizację baterii (CW/ZW)"
"Wanna","Rzut poziomy","Prostokątny zarys z oznaczeniem W","Szukaj prostokąta z symbolem wanny","Wymiary","170 x 75 cm, 180 x 80 cm","Sprawdź kierunek syfonu i baterii"
"Prysznic","Rzut poziomy","Kwadratowy/prostokątny zarys z oznaczeniem P lub deszczownią","Szukaj kwadratu z symbolem P lub natrysku","Wymiary kabiny","90 x 90, 100 x 100, 120 x 80","Sprawdź lokalizację odpływu i typu kabiny (narożna/wnękowa)"
"WC (muszla klozetowa)","Rzut poziomy","Symbol WC lub charakterystyczny owalny kształt","Szukaj symbolu WC","Typ + odległość od ściany","WC podwieszane, 50 cm od ściany bocznej","Sprawdź czy podwieszane czy stojące, lokalizację spłuczki"
"Punkt wody zimnej","Rzut poziomy lub Instalacje","Symbol ZW z zaworem","Szukaj oznaczenia ZW z symbolem zaworu","Lokalizacja + wysokość","ZW przy umywalce, wys. 55 cm","Średnica przyłącza zazwyczaj 1/2 cala"
"Punkt wody ciepłej","Rzut poziomy lub Instalacje","Symbol CW lub CWU z zaworem","Szukaj oznaczenia CW/CWU z symbolem zaworu","Lokalizacja + wysokość","CW przy umywalce, wys. 55 cm","Średnica przyłącza zazwyczaj 1/2 cala"
"Odpływ kanalizacyjny","Rzut poziomy lub Instalacje","Symbol KAN lub linia gruba z kierunkiem spadku","Szukaj oznaczeń KAN, Ø50, Ø110 ze strzałką spadku","Średnica + lokalizacja","Ø50 odpływ przy umywalce","Ø50 = umywalka/prysznic, Ø110 = WC, spadek min 2%"
"Kratka wentylacyjna wywiew","Rzut sufitu","Symbol prostokąta z kreskami i oznaczeniem WYW","Szukaj symbolu z krekami i strzałką lub WYW","Wymiary + lokalizacja","Kratka 15x15 cm, wywiew w łazience","WYW = wywiew (wyciąg), NAW = nawiew"
"Kratka wentylacyjna nawiew","Rzut sufitu","Symbol prostokąta z kreskami i oznaczeniem NAW","Szukaj symbolu z kreskami i strzałką lub NAW","Wymiary + lokalizacja","Kratka 20x20 cm, nawiew w salonie","Kierunek kratek wskazuje kierunek przepływu powietrza"
"Grzejnik/kaloryfer","Rzut poziomy lub Rozwinięcie","Symbol żeberek lub prostokąta przy ścianie","Szukaj symbolu żeberek lub oznaczenia RAD","Wymiary + moc","Grzejnik 120x60 cm, 1500W","Sprawdź lokalizację zaworów (dolne/boczne podłączenie)"
"Szafka kuchenna dolna","Rzut poziomy meblowania","Prostokąt z ozn. wymiarów i podziałami wewnętrznymi","Odczytaj wymiar szerokości modułu","Szerokość modułu","D60 (dolna 60 cm), D80, D45","Standard: 60 cm głębokość, 85-90 cm wysokość z blatem"
"Szafka kuchenna górna","Rzut poziomy lub Rozwinięcie","Prostokąt zazwyczaj liniami przerywanymi","Odczytaj wymiar szerokości modułu i wysokość montażu","Szerokość + wysokość montażu","G80 (górna 80 cm), montaż 140 cm od podłogi","Standard: 30-35 cm głębokość, montaż 50-60 cm nad blatem"
"Blat kuchenny","Rzut poziomy","Ciągła linia obrysu strefy roboczej","Zmierz długość i szerokość blatu","Długość x szerokość x grubość","300 x 60 x 3 cm","Standardowa szerokość: 60 cm, grubość 2-4 cm"
"Zlewozmywak","Rzut poziomy","Zarys komór z ozn. ZM lub symbol","Odczytaj ilość komór i wymiary","Typ + wymiary","Zlewozmywak 1-komorowy 50x60 cm","Sprawdź lokalizację baterii i odsączarki"
"Płyta grzewcza/indukcyjna","Rzut poziomy","Prostokąt z symbolem palników lub pól indukcyjnych","Odczytaj wymiary wycięcia w blacie","Wymiary wycięcia","60 x 52 cm pod płytę 4-polową","Standard: 60 cm (4 pola) lub 30 cm (2 pola)"
"Piekarnik do zabudowy","Rzut poziomy lub Rozwinięcie","Prostokąt w zabudowie z ozn. wymiarów niszy","Odczytaj wymiary niszy montażowej","Wymiary niszy","60 x 60 x 56 cm (szer x wys x głęb)","Sprawdź wysokość montażu (dolny/wysokościowy)"
"Lodówka","Rzut poziomy","Prostokąt z ozn. wymiarów","Odczytaj wymiary przestrzeni na lodówkę","Wymiary wolnostojąca/do zabudowy","60 x 200 x 60 cm (szer x wys x głęb)","Wolnostojąca lub do zabudowy - różne wymagania wentylacji"
"Zmywarka","Rzut poziomy","Prostokąt z ozn. ZM w zabudowie","Odczytaj wymiar szerokości niszy","Szerokość niszy","60 cm (standardowa) lub 45 cm (wąska)","Sprawdź dostęp do wody i kanalizacji"
"Pralka","Rzut poziomy","Prostokąt z ozn. PR lub symbol","Odczytaj wymiary przestrzeni","Wymiary","60 x 85 x 60 cm (szer x wys x głęb)","Sprawdź dostęp do wody, kanalizacji i gniazdka"
"Wysokość montażu elementu","Rozwinięcie ściany","Linia wymiarowa pionowa od podłogi","Odczytaj wymiar od poziomu ±0.00 do środka/góry/dołu elementu","Wysokość w cm","Górna krawędź lustra 180 cm od podłogi","NPP = poziom podłogi, zwróć uwagę czy wymiar do góry/dołu/środka"
"Materiał podłogi","Rzut poziomy lub Zestawienie","Symbol/wzór wypełnienia + oznaczenie w legendzie","Sprawdź legendę materiałów, kod produktu","Typ + wymiary + kolor","Płytki gres 60x60 cm, RAL 9010","Sprawdź kierunek układania (ceglasto/w kratkę/po przekątnej)"
"Materiał ściany","Rozwinięcie lub Zestawienie","Wzór wypełnienia ściany + wysokość strefy","Odczytaj wysokość poszczególnych stref materiałowych","Typ + wysokość strefy + kolor","Płytki 30x60 do wys. 240 cm, kolor biały mat","Sprawdź czy są różne strefy (np. płytki do 2.4m, farba wyżej)"
"Listwy przypodłogowe","Rozwinięcie ściany","Cienka linia przy podłodze","Sprawdź typ i wysokość listwy w legendzie","Typ + wysokość","Listwa MDF biała, 8 cm","Sprawdź czy w kolorze podłogi czy drzwi"
"Sufit podwieszany - poziom","Rzut sufitu","Linie obrysów z oznaczeniem wysokości","Odczytaj wysokość każdego poziomu sufitu","Wysokość od podłogi","Obniżenie do 250 cm, sufit główny 270 cm","Sprawdź czy wymiar do spodu konstrukcji czy do płyt GK"
"Oświetlenie LED taśma","Rzut sufitu","Linia ciągła/przerywana z ozn. LED","Zmierz długość taśmy i sprawdź moc","Długość + moc na metr","Taśma LED 5m, 14W/m, ciepła biel","Sprawdź czy taśma widoczna czy w profilu, barwę światła"
"Reflektor/spot","Rzut sufitu","Symbol kółka ze strzałką kierunku","Zlokalizuj pozycję i odczytaj kierunek świecenia","Lokalizacja + kąt obrotu","Spot regulowany, kąt 30° w stronę obrazu","Strzałka wskazuje kierunek świecenia"
"Czujnik ruchu","Rzut sufitu lub Rzut poziomy","Symbol PIR lub oznaczenie tekstowe","Zlokalizuj pozycję i zasięg działania","Lokalizacja + zasięg","Czujnik ruchu, zasięg 5m, 180°","Sprawdź czy steruje oświetleniem czy alarmem"
"Czujnik dymu","Rzut sufitu","Symbol okrągły z ozn. dymu/ognia","Zlokalizuj zgodnie z przepisami","Lokalizacja","Czujnik dymu centralnie w korytarzu","Wymagany w każdym pomieszczeniu mieszkalnym"
"Głośnik sufitowy","Rzut sufitu","Symbol kółka z oznaczeniem głośnika","Zlokalizuj pozycję głośników","Lokalizacja + moc","Głośnik 8Ω 20W centralnie w salonie","Sprawdź rozmieszczenie dla systemu stereo/surround"
"Klimatyzator - jednostka wewnętrzna","Rzut poziomy lub Rozwinięcie","Prostokąt z ozn. KL na ścianie","Odczytaj lokalizację montażu i wymiary","Lokalizacja + wysokość montażu","Klimatyzator Split 20cm od sufitu","Sprawdź gdzie jednostka zewnętrzna i trasa rur"
"Drabinka/grzejnik łazienkowy","Rozwinięcie łazienki","Symbol drabinki lub prostokąta z kreśkami","Odczytaj wymiary i lokalizację","Wymiary + lokalizacja","60 x 120 cm, przy wannie","Sprawdź czy elektryczny czy podłączony do c.o."
"Lustro","Rozwinięcie ściany","Prostokąt z przekątną lub ozn. tekstowym","Odczytaj wymiary i wysokość montażu","Wymiary + wysokość","Lustro 80 x 100 cm, dolna krawędź 80 cm od podłogi","Sprawdź czy z oświetleniem, czy z ramą"
"Szafka lustrzana","Rozwinięcie ściany","Prostokąt z podziałami wewnętrznymi","Odczytaj wymiary i głębokość","Wymiary","Szafka 60 x 70 x 15 cm (szer x wys x głęb)","Sprawdź ilość drzwi i półek wewnętrznych"
"Akcesoria łazienkowe","Rozwinięcie ściany","Małe symbole lub oznaczenia tekstowe","Zlokalizuj pozycję wieszaków, mydelniczek, uchwytów","Typ + wysokość montażu","Wieszak na ręczniki wys. 120 cm","Standardy: uchwyt papieru 60cm, wieszak 120-150cm"
"Parapet wewnętrzny","Rozwinięcie ściany pod oknem","Linia przy oknie od wewnątrz","Odczytaj długość i szerokość parapetu","Długość x szerokość x grubość","Parapet 140 x 25 x 3 cm","Zwykle wystaje 2-3 cm poza obrys ściany"
"Roleta/żaluzja","Rozwinięcie okna","Symbol lub oznaczenie nad oknem","Odczytaj typ i wymiary","Typ + wymiary + sterowanie","Roleta zewnętrzna 140x150 cm, elektryczna","Sprawdź czy wewnętrzna/zewnętrzna, sterowanie manualne/elektryczne"
"Drzwi przesuwne","Rzut poziomy","Dwie linie równoległe z oznaczeniem DP","Odczytaj wymiar szerokości i ilość skrzydeł","Szerokość x ilość skrzydeł","Drzwi przesuwne 180 cm (2x90)","Sprawdź kierunek przesuwu i typ prowadnicy (górna/dolna)"
"Wysokość parapetu zewnętrznego","Przekrój okna","Wymiar od poziomu podłogi do parapetu","Odczytaj wysokość od NPP","Wysokość w cm","90 cm od podłogi","Standardowo 85-95 cm dla okien w pokojach"
"Grubość izolacji podłogi","Przekrój podłogi","Warstwy przekroju z wymiarami","Zsumuj grubości warstw izolacyjnych","Grubość w cm","Styropian 10 cm + wylewka 5 cm","Sprawdź wszystkie warstwy: izolacja, wylewka, posadzka"
"Próg/różnica poziomów","Przekrój lub Rzut poziomy","Stopień lub oznaczenie różnicy wysokości","Odczytaj wysokość stopnia/progu","Różnica poziomów w cm","Próg 2 cm, stopień 15 cm","Próg max 2 cm bez konieczności oznaczenia"
"Balustrada","Przekrój lub Rozwinięcie","Linia z ozn. wysokości i konstrukcji","Odczytaj wysokość balustrady","Wysokość + typ","Balustrada szklana H=110 cm","Minimalna wysokość 90-110 cm, sprawdź materiał i mocowanie"
"Podest schodowy","Rzut poziomy schodów","Platforma między biegami","Odczytaj wymiary","Szerokość x głębokość","Podest 100 x 120 cm","Minimalna głębokość = szerokość biegu"
"Stopnie schodowe","Przekrój schodów","Wymiary poszczególnych stopni","Odczytaj wysokość i szerokość stopnia","Wysokość x szerokość x ilość","17 cm x 27 cm, 15 stopni","Wysokość 15-19 cm, szerokość 25-30 cm, formuła 2h+s=60-65cm"
"Półka","Rozwinięcie ściany","Linia pozioma z wymiarami","Odczytaj długość, głębokość i wysokość montażu","Wymiary + wysokość","Półka 120 x 30 cm, wys. 180 cm","Sprawdź sposób mocowania i materiał"
"Szafa do zabudowy","Rzut poziomy","Prostokąt z podziałami wewnętrznymi","Odczytaj wymiary i podział wewnętrzny","Wymiary + podział","Szafa 250 x 60 cm, 3 sekcje","Sprawdź wysokość (do sufitu czy nie), typ drzwi"
"Biurko/blat roboczy","Rzut poziomy","Prostokąt z wymiarami","Odczytaj wymiary i wysokość","Wymiary + wysokość montażu","Biurko 140 x 60 cm, wys. 75 cm","Standardowa wysokość biurka 72-76 cm"
"TV na ścianie","Rozwinięcie ściany","Prostokąt z przekątną lub ozn. TV","Odczytaj wymiary i wysokość środka ekranu","Przekątna + wysokość środka","TV 55' środek na wys. 120 cm","Wysokość środka ekranu 100-120 cm w pozycji siedzącej"
"Zasilanie do TV","Rozwinięcie ściany","Oznaczenie gniazdka za TV","Zlokalizuj gniazdka i przyłącza","Typy gniazdek","230V + HDMI + RJ45 za TV","Grupuj zasilanie, HDMI, antenę w jednym miejscu"
"Oświetlenie obrazu","Rozwinięcie ściany lub Rzut sufitu","Symbol lampki nad obrazem","Odczytaj typ i lokalizację","Typ + wymiary światła","Lampka obrazowa LED 40 cm","Montaż 15-20 cm nad górną krawędzią obrazu"
"Kominek","Rzut poziomy i Przekrój","Symbol kominka z wymiarem obudowy","Odczytaj wymiary obudowy i wymiary wnęki","Wymiary obudowy + wkładu","Obudowa 150x50cm, wkład 80x60cm","Sprawdź wymagania wentylacyjne i odprowadzenie spalin"
"Prowadzenie przewodów","Rzut poziomy/sufitu","Linie łączące elementy instalacji","Śledź trasę przewodu od źródła do odbiornika","Trasa przewodu","Od rozdzielnicy przez sufit do lampy","Linia ciągła=podłoga, przerywana=sufit, kropkowana=ściana"
"Odpływ liniowy","Rzut podłogi łazienki","Długa linia przy ścianie lub w narożniku","Odczytaj długość i lokalizację","Długość + lokalizacja","Odpływ liniowy 80 cm przy ścianie","Sprawdź spadek podłogi (min 2%) w kierunku odpływu"
"Brodzik","Rzut poziomy","Kwadrat/prostokąt z ozn. wysokości","Odczytaj wymiary i wysokość","Wymiary + wysokość","Brodzik 90x90 cm, wys. 5 cm","Sprawdź czy wpuszczany, przyścienny, czy wolnostojący"
"Wanna wolnostojąca","Rzut poziomy","Owalny zarys w centrum pomieszczenia","Odczytaj wymiary i lokalizację","Wymiary + odległości od ścian","Wanna 170x80 cm, 60 cm od ściany","Sprawdź dostęp do baterii i syfonu"
"System podtynkowy WC","Przekrój ściany","Prostokątna konstrukcja w ścianie","Odczytaj wymiary zabudowy","Wymiary stelaża","Stelaż 50 x 112 x 20 cm","Sprawdź wysokość przycisku spłukującego (100 cm)"
"Ogrzewanie podłogowe","Rzut poziomy instalacji","Linie/pętle na powierzchni podłogi","Sprawdź rozmieszczenie pętli i rozstaw","Rozstaw pętli + powierzchnia","Rozstaw 15 cm, powierzchnia 25 m2","Nie układać pod meblami stałymi"
"Czerpnia/wyrzutnia powietrza","Rzut sufitu lub ściany","Symbol otworu wentylacyjnego","Zlokalizuj pozycję i średnicę","Średnica + lokalizacja","Wyrzutnia Ø160 mm na ścianie","Czerpnia od strony czystego powietrza, wyrzutnia odpowiednio daleko"
"Termostat","Rzut poziomy","Symbol regulatora temperatury","Zlokalizuj pozycję i typ","Typ + wysokość montażu","Termostat programowalny wys. 150 cm","Montować z dala od okien i grzejników"
"Rozdzielnia elektryczna","Rzut poziomy","Symbol dużego prostokąta z ozn.","Odczytaj wymiary i lokalizację","Wymiary + wysokość montażu","Rozdzielnia 40x60 cm, wys. 160 cm","Dostęp min. 100 cm, pomieszczenie suche"
"Odkurzacz centralny - gniazdo","Rzut poziomy","Symbol VP lub oznaczenie tekstowe","Zlokalizuj pozycję gniazd ssących","Lokalizacja + wysokość","Gniazdo VP wys. 30 cm w korytarzu","Rozmieścić co 15-20m, wysokość 20-30 cm"
"Gniazdko zewnętrzne","Rzut poziomy lub Elewacja","Symbol gniazdka z ozn. IP44/IP65","Zlokalizuj i sprawdź klasę szczelności","Typ + IP + lokalizacja","Gniazdko IP44 przy drzwiach tarasowych","IP44 minimum dla łazienki, IP65 na zewnątrz"
"Wypusty hydrantowe","Rzut poziomy","Symbol hydrantu lub ozn. tekstowe","Zlokalizuj zgodnie z przepisami","Lokalizacja + typ","Hydrant wewnętrzny 25m w holu","Co 30m w budynkach użyteczności publicznej"
"Szacht instalacyjny","Rzut poziomy","Zakreskowany prostokąt","Odczytaj wymiary i sprawdź co prowadzi","Wymiary + instalacje","Szacht 60x80 cm (piony wod-kan)","Drzwi rewizyjne co kondygnację"
"Antresola","Rzut poziomy i Przekrój","Platforma na wyższym poziomie","Odczytaj wymiary i wysokość","Wymiary + wysokość","Antresola 4x3m na wys. 220 cm","Sprawdź wysokość pod i nad antresolą (min 200 cm)"
"Świetlik/okno dachowe","Rzut sufitu","Prostokąt z ozn. okna","Odczytaj wymiary i typ","Wymiary + typ otwierania","Okno dachowe 78x118 cm, uchylne","Sprawdź kąt nachylenia dachu i mechanizm otwierania"
"Taras/balkon","Rzut poziomy","Obszar poza obrysem budynku","Odczytaj wymiary i poziom","Wymiary + poziom + nawierzchnia","Taras 3x4m na poziomie ±0.00, płyty tarasowe","Sprawdź spadek (1-2%) i odprowadzenie wody"